"Gender","Item Purchased","Category","Purchase Amount (USD)","Location","Size","Season","Payment Method","Frequency of Purchases"
"Male","Belt","Accessories","29","Alabama","M","Fall","Debit Card","Every 3 Months"
"Male","Dress","Clothing","48","Virginia","L","Summer","Bank Transfer","Annually"
"Male","Dress","Clothing","26","Georgia","M","Winter","Bank Transfer","Every 3 Months"
"Male","Pants","Clothing","85","Hawaii","M","Spring","Bank Transfer","Bi-Weekly"
"Male","Gloves","Accessories","58","Indiana","L","Spring","Cash","Monthly"
"Male","Scarf","Accessories","85","Utah","M","Summer","Credit Card","Annually"
"Male","Hat","Accessories","43","Delaware","S","Summer","Venmo","Monthly"
"Male","Dress","Clothing","53","Delaware","L","Summer","Debit Card","Fortnightly"
"Male","Skirt","Clothing","91","Nebraska","M","Spring","Venmo","Fortnightly"
"Male","Jacket","Outerwear","96","Iowa","M","Winter","Bank Transfer","Every 3 Months"
"Male","Sandals","Footwear","72","New York","XL","Summer","Credit Card","Every 3 Months"
"Male","Shoes","Footwear","96","Virginia","L","Summer","Credit Card","Every 3 Months"
"Male","Pants","Clothing","28","Georgia","S","Spring","Credit Card","Every 3 Months"
"Male","Dress","Clothing","40","Texas","M","Summer","Bank Transfer","Weekly"
"Male","Coat","Outerwear","32","Arizona","S","Spring","Bank Transfer","Every 3 Months"
"Male","Sunglasses","Accessories","95","New Mexico","M","Winter","Debit Card","Bi-Weekly"
"Male","Hoodie","Clothing","41","Nevada","L","Spring","Cash","Bi-Weekly"
"Male","Shoes","Footwear","53","Ohio","M","Fall","Debit Card","Fortnightly"
"Male","T-shirt","Clothing","47","Wyoming","M","Fall","Credit Card","Monthly"
"Male","Jacket","Outerwear","83","California","XL","Fall","Cash","Quarterly"
"Male","Hat","Accessories","48","South Carolina","L","Summer","Credit Card","Monthly"
"Male","Scarf","Accessories","99","South Carolina","S","Winter","Credit Card","Every 3 Months"
"Male","Jacket","Outerwear","87","Texas","M","Winter","Venmo","Every 3 Months"
"Male","Sweater","Clothing","62","Florida","M","Fall","Credit Card","Weekly"
"Male","Skirt","Clothing","76","Nevada","S","Spring","Credit Card","Weekly"
"Male","Sneakers","Footwear","100","Missouri","L","Fall","PayPal","Monthly"
"Male","Gloves","Accessories","73","Delaware","S","Spring","Venmo","Every 3 Months"
"Male","Shoes","Footwear","92","Virginia","M","Winter","Cash","Annually"
"Male","Jeans","Clothing","67","New York","XL","Spring","Bank Transfer","Annually"
"Male","Hoodie","Clothing","40","Missouri","XL","Summer","Debit Card","Quarterly"
"Male","Sunglasses","Accessories","98","South Dakota","M","Fall","Cash","Fortnightly"
"Male","Coat","Outerwear","85","North Dakota","XL","Spring","Credit Card","Bi-Weekly"
"Male","Socks","Clothing","67","Oklahoma","L","Winter","Credit Card","Quarterly"
"Male","Boots","Footwear","89","West Virginia","L","Winter","Venmo","Bi-Weekly"
"Male","Sunglasses","Accessories","24","New Hampshire","L","Spring","PayPal","Monthly"
"Male","Backpack","Accessories","96","New York","M","Fall","Bank Transfer","Annually"
"Male","Jacket","Outerwear","35","Minnesota","L","Summer","Credit Card","Monthly"
"Male","Sneakers","Footwear","67","Maryland","L","Winter","PayPal","Fortnightly"
"Male","Socks","Clothing","79","Montana","L","Spring","Bank Transfer","Bi-Weekly"
"Male","T-shirt","Clothing","85","Alabama","M","Spring","Bank Transfer","Fortnightly"
"Male","Backpack","Accessories","26","New York","M","Summer","Venmo","Fortnightly"
"Male","Belt","Accessories","75","Massachusetts","L","Summer","Credit Card","Annually"
"Male","Gloves","Accessories","65","Florida","M","Spring","PayPal","Bi-Weekly"
"Male","Hat","Accessories","54","New Jersey","L","Winter","PayPal","Quarterly"
"Male","Coat","Outerwear","95","Massachusetts","S","Summer","Cash","Weekly"
"Male","Skirt","Clothing","94","Wyoming","M","Spring","Debit Card","Every 3 Months"
"Male","Shoes","Footwear","86","Virginia","S","Spring","Venmo","Annually"
"Male","Sandals","Footwear","32","South Dakota","L","Summer","Cash","Fortnightly"
"Male","Sweater","Clothing","45","Kentucky","L","Fall","Cash","Bi-Weekly"
"Male","Coat","Outerwear","76","Wyoming","M","Fall","Cash","Annually"
"Male","Hat","Accessories","84","West Virginia","L","Summer","Bank Transfer","Annually"
"Male","Shorts","Clothing","72","Virginia","M","Winter","Cash","Fortnightly"
"Male","Backpack","Accessories","40","Washington","L","Spring","Cash","Fortnightly"
"Male","Sweater","Clothing","89","Louisiana","L","Fall","Cash","Weekly"
"Male","Sweater","Clothing","86","Nevada","M","Spring","PayPal","Annually"
"Male","Shorts","Clothing","54","California","M","Winter","Venmo","Every 3 Months"
"Male","Shorts","Clothing","36","Mississippi","L","Spring","Cash","Every 3 Months"
"Male","Sweater","Clothing","89","Mississippi","M","Winter","Credit Card","Weekly"
"Male","Scarf","Accessories","32","California","M","Spring","Credit Card","Fortnightly"
"Male","Dress","Clothing","67","Pennsylvania","XL","Summer","PayPal","Bi-Weekly"
"Male","Scarf","Accessories","39","Kentucky","L","Fall","PayPal","Fortnightly"
"Male","Skirt","Clothing","29","Maine","L","Summer","Credit Card","Weekly"
"Male","Backpack","Accessories","58","New Mexico","M","Fall","PayPal","Weekly"
"Male","Sweater","Clothing","65","Montana","M","Winter","Venmo","Annually"
"Male","Hat","Accessories","94","Texas","L","Fall","Cash","Monthly"
"Male","Sandals","Footwear","81","Kansas","M","Fall","PayPal","Quarterly"
"Male","Blouse","Clothing","86","South Carolina","M","Winter","Debit Card","Quarterly"
"Male","Sneakers","Footwear","43","Colorado","M","Spring","PayPal","Weekly"
"Male","Skirt","Clothing","29","Georgia","M","Winter","Bank Transfer","Weekly"
"Male","Coat","Outerwear","95","Florida","M","Fall","Venmo","Annually"
"Male","Shirt","Clothing","28","North Carolina","L","Fall","Credit Card","Weekly"
"Male","Gloves","Accessories","46","Virginia","M","Fall","PayPal","Weekly"
"Male","Jacket","Outerwear","58","Nebraska","L","Fall","Credit Card","Fortnightly"
"Male","Coat","Outerwear","48","Missouri","M","Fall","PayPal","Quarterly"
"Male","Shoes","Footwear","43","New Jersey","M","Fall","Cash","Monthly"
"Male","Jewelry","Accessories","95","Missouri","M","Fall","Debit Card","Quarterly"
"Male","Skirt","Clothing","30","Colorado","S","Fall","Venmo","Fortnightly"
"Male","Shoes","Footwear","64","Idaho","M","Summer","Bank Transfer","Fortnightly"
"Male","Gloves","Accessories","90","Wyoming","M","Fall","Debit Card","Annually"
"Male","Pants","Clothing","76","Delaware","M","Summer","PayPal","Monthly"
"Male","Boots","Footwear","96","California","L","Fall","Debit Card","Every 3 Months"
"Male","Sunglasses","Accessories","47","North Dakota","L","Fall","Venmo","Annually"
"Male","Shirt","Clothing","85","South Carolina","S","Summer","Venmo","Annually"
"Male","Hoodie","Clothing","55","North Carolina","M","Winter","Debit Card","Annually"
"Male","Dress","Clothing","98","Oklahoma","M","Fall","Venmo","Quarterly"
"Male","Socks","Clothing","77","Maine","S","Spring","Bank Transfer","Quarterly"
"Male","Shorts","Clothing","26","Missouri","M","Fall","Debit Card","Annually"
"Male","Hat","Accessories","68","Vermont","S","Fall","Bank Transfer","Fortnightly"
"Male","Shirt","Clothing","73","Connecticut","XL","Fall","Bank Transfer","Monthly"
"Male","Gloves","Accessories","27","New Hampshire","M","Fall","Bank Transfer","Every 3 Months"
"Male","Gloves","Accessories","23","Texas","M","Summer","Venmo","Monthly"
"Male","Backpack","Accessories","49","North Dakota","M","Fall","Venmo","Fortnightly"
"Male","Sunglasses","Accessories","74","California","M","Summer","PayPal","Bi-Weekly"
"Male","Skirt","Clothing","67","Virginia","M","Summer","Debit Card","Weekly"
"Male","Handbag","Accessories","65","Delaware","S","Spring","Credit Card","Fortnightly"
"Male","Handbag","Accessories","60","Kentucky","S","Winter","Cash","Monthly"
"Male","Sneakers","Footwear","31","Delaware","XL","Fall","Cash","Monthly"
"Male","Gloves","Accessories","27","Arkansas","M","Fall","Credit Card","Every 3 Months"
"Male","Shoes","Footwear","80","Louisiana","M","Summer","Cash","Fortnightly"
"Male","Jacket","Outerwear","30","Nevada","S","Summer","PayPal","Every 3 Months"
"Male","Shirt","Clothing","25","Wyoming","M","Fall","Venmo","Bi-Weekly"
"Male","Shorts","Clothing","35","Virginia","M","Summer","Credit Card","Weekly"
"Male","Jewelry","Accessories","67","Nebraska","M","Summer","Credit Card","Bi-Weekly"
"Male","Hat","Accessories","46","Hawaii","M","Fall","Cash","Annually"
"Male","Shoes","Footwear","35","Vermont","L","Winter","Venmo","Annually"
"Male","Coat","Outerwear","86","Oklahoma","L","Fall","Bank Transfer","Annually"
"Male","Backpack","Accessories","81","New Hampshire","L","Spring","Credit Card","Quarterly"
"Male","Hoodie","Clothing","42","Kansas","L","Fall","Bank Transfer","Monthly"
"Male","Skirt","Clothing","43","Idaho","L","Fall","PayPal","Quarterly"
"Male","Boots","Footwear","31","Illinois","M","Fall","Bank Transfer","Fortnightly"
"Male","Sandals","Footwear","81","South Dakota","L","Fall","Debit Card","Fortnightly"
"Male","Pants","Clothing","61","Massachusetts","M","Summer","Bank Transfer","Weekly"
"Male","Gloves","Accessories","96","Alabama","XL","Summer","Debit Card","Annually"
"Male","Skirt","Clothing","29","Ohio","XL","Spring","Credit Card","Weekly"
"Male","Sneakers","Footwear","33","Hawaii","L","Spring","Cash","Fortnightly"
"Male","T-shirt","Clothing","32","Wisconsin","XL","Summer","Bank Transfer","Fortnightly"
"Male","Backpack","Accessories","56","Minnesota","S","Summer","Debit Card","Annually"
"Male","Shoes","Footwear","94","Georgia","S","Spring","Bank Transfer","Bi-Weekly"
"Male","Hoodie","Clothing","53","Arkansas","M","Spring","Bank Transfer","Bi-Weekly"
"Male","Blouse","Clothing","82","West Virginia","M","Fall","Credit Card","Weekly"
"Male","Coat","Outerwear","70","Indiana","XL","Fall","Venmo","Quarterly"
"Male","Hat","Accessories","76","Utah","M","Fall","Cash","Every 3 Months"
"Male","Shoes","Footwear","29","Nebraska","L","Summer","PayPal","Bi-Weekly"
"Male","Belt","Accessories","100","North Dakota","S","Fall","Venmo","Annually"
"Male","Backpack","Accessories","94","Missouri","M","Spring","Debit Card","Quarterly"
"Male","Jacket","Outerwear","25","New York","M","Fall","Credit Card","Monthly"
"Male","Boots","Footwear","88","Washington","M","Summer","Credit Card","Fortnightly"
"Male","Scarf","Accessories","78","South Carolina","M","Fall","Credit Card","Monthly"
"Male","Jewelry","Accessories","45","Utah","M","Winter","Credit Card","Fortnightly"
"Male","Hat","Accessories","73","Idaho","XL","Summer","Cash","Weekly"
"Male","Dress","Clothing","61","Pennsylvania","S","Summer","Venmo","Monthly"
"Male","Blouse","Clothing","22","Missouri","S","Fall","Bank Transfer","Annually"
"Male","Hat","Accessories","38","Nebraska","L","Spring","Venmo","Annually"
"Male","Scarf","Accessories","38","Indiana","S","Fall","Bank Transfer","Weekly"
"Male","Sneakers","Footwear","100","Arizona","M","Fall","Cash","Bi-Weekly"
"Male","Shirt","Clothing","64","Hawaii","M","Winter","PayPal","Weekly"
"Male","T-shirt","Clothing","55","Wisconsin","L","Summer","Venmo","Fortnightly"
"Male","Gloves","Accessories","91","Rhode Island","M","Summer","Bank Transfer","Bi-Weekly"
"Male","Skirt","Clothing","38","Wisconsin","M","Spring","Credit Card","Monthly"
"Male","Sandals","Footwear","97","Minnesota","S","Winter","Cash","Every 3 Months"
"Male","Jacket","Outerwear","22","Vermont","L","Fall","PayPal","Fortnightly"
"Male","Skirt","Clothing","92","South Dakota","L","Fall","Debit Card","Fortnightly"
"Male","Handbag","Accessories","84","Virginia","L","Fall","Debit Card","Annually"
"Male","Handbag","Accessories","93","Nevada","L","Fall","Debit Card","Every 3 Months"
"Male","Jacket","Outerwear","50","Hawaii","L","Summer","Cash","Every 3 Months"
"Male","Scarf","Accessories","64","New Jersey","S","Spring","PayPal","Bi-Weekly"
"Male","Shorts","Clothing","61","Massachusetts","L","Spring","Venmo","Weekly"
"Male","Sunglasses","Accessories","48","Oklahoma","M","Winter","Bank Transfer","Annually"
"Male","T-shirt","Clothing","45","California","S","Spring","Credit Card","Quarterly"
"Male","Belt","Accessories","88","Nevada","M","Spring","Cash","Fortnightly"
"Male","Sneakers","Footwear","57","Arizona","S","Spring","Debit Card","Fortnightly"
"Male","Hat","Accessories","68","North Carolina","XL","Summer","Bank Transfer","Quarterly"
"Male","Gloves","Accessories","94","New York","XL","Spring","PayPal","Fortnightly"
"Male","Pants","Clothing","41","Wyoming","M","Spring","PayPal","Annually"
"Male","Socks","Clothing","83","South Dakota","S","Summer","Cash","Every 3 Months"
"Male","Jacket","Outerwear","22","Arkansas","M","Spring","Bank Transfer","Annually"
"Male","Shoes","Footwear","74","Texas","L","Spring","PayPal","Monthly"
"Male","Jeans","Clothing","90","Rhode Island","M","Winter","Venmo","Fortnightly"
"Male","Socks","Clothing","79","New Hampshire","M","Spring","Credit Card","Annually"
"Male","Sandals","Footwear","28","Ohio","S","Spring","PayPal","Every 3 Months"
"Male","Scarf","Accessories","88","Utah","L","Fall","Credit Card","Annually"
"Male","Blouse","Clothing","26","Tennessee","M","Spring","Debit Card","Every 3 Months"
"Male","Jewelry","Accessories","27","Hawaii","L","Winter","Bank Transfer","Bi-Weekly"
"Male","Sweater","Clothing","83","Arizona","XL","Fall","Bank Transfer","Every 3 Months"
"Male","Gloves","Accessories","39","South Dakota","S","Summer","Credit Card","Weekly"
"Male","Sunglasses","Accessories","89","New Jersey","M","Winter","Debit Card","Quarterly"
"Male","Coat","Outerwear","68","North Dakota","L","Winter","PayPal","Fortnightly"
"Male","Dress","Clothing","90","Iowa","M","Summer","Debit Card","Fortnightly"
"Male","Skirt","Clothing","34","Ohio","M","Fall","Cash","Annually"
"Male","Pants","Clothing","51","Vermont","L","Summer","Credit Card","Bi-Weekly"
"Male","Sweater","Clothing","45","Montana","XL","Winter","Bank Transfer","Fortnightly"
"Male","Hoodie","Clothing","88","Delaware","M","Winter","Venmo","Bi-Weekly"
"Male","Coat","Outerwear","85","New York","L","Summer","Debit Card","Every 3 Months"
"Male","Jewelry","Accessories","100","Kentucky","M","Winter","Debit Card","Monthly"
"Male","Belt","Accessories","42","Oregon","S","Spring","PayPal","Weekly"
"Male","Sandals","Footwear","53","Rhode Island","L","Summer","Venmo","Fortnightly"
"Male","Sunglasses","Accessories","86","Nevada","XL","Spring","Venmo","Bi-Weekly"
"Male","Sweater","Clothing","66","Montana","XL","Spring","Debit Card","Weekly"
"Male","Belt","Accessories","100","Pennsylvania","M","Winter","PayPal","Weekly"
"Male","Handbag","Accessories","47","Alaska","S","Fall","Credit Card","Annually"
"Male","Skirt","Clothing","25","Mississippi","L","Fall","Bank Transfer","Weekly"
"Male","Handbag","Accessories","51","Wyoming","XL","Winter","PayPal","Annually"
"Male","Shorts","Clothing","41","Delaware","M","Summer","Venmo","Fortnightly"
"Male","Boots","Footwear","73","Oklahoma","L","Winter","Bank Transfer","Bi-Weekly"
"Male","Sunglasses","Accessories","42","Indiana","M","Winter","PayPal","Bi-Weekly"
"Male","Scarf","Accessories","20","Maryland","M","Spring","Debit Card","Annually"
"Male","Jewelry","Accessories","30","South Dakota","XL","Spring","Credit Card","Every 3 Months"
"Male","Handbag","Accessories","53","West Virginia","M","Summer","Credit Card","Quarterly"
"Male","Gloves","Accessories","74","Alabama","S","Spring","Cash","Quarterly"
"Male","Jeans","Clothing","57","Louisiana","M","Fall","Debit Card","Annually"
"Male","Hat","Accessories","57","Montana","S","Winter","Credit Card","Every 3 Months"
"Male","Jeans","Clothing","77","California","L","Winter","Credit Card","Annually"
"Male","Pants","Clothing","40","Hawaii","M","Summer","Debit Card","Annually"
"Male","Shorts","Clothing","46","Iowa","M","Summer","Venmo","Monthly"
"Male","Pants","Clothing","78","Colorado","S","Fall","Cash","Annually"
"Male","Backpack","Accessories","59","Michigan","M","Spring","Bank Transfer","Bi-Weekly"
"Male","Jewelry","Accessories","75","Louisiana","L","Summer","Credit Card","Weekly"
"Male","Sweater","Clothing","54","Maryland","M","Spring","Venmo","Annually"
"Male","Shoes","Footwear","42","Georgia","M","Spring","Cash","Monthly"
"Male","Blouse","Clothing","44","Georgia","M","Winter","Cash","Bi-Weekly"
"Male","Jeans","Clothing","52","North Dakota","XL","Fall","Bank Transfer","Annually"
"Male","Sunglasses","Accessories","69","Maryland","XL","Summer","Credit Card","Fortnightly"
"Male","Jewelry","Accessories","26","Oregon","M","Summer","Debit Card","Bi-Weekly"
"Male","Coat","Outerwear","33","North Dakota","S","Spring","Debit Card","Quarterly"
"Male","Jewelry","Accessories","32","Maryland","M","Spring","Cash","Bi-Weekly"
"Male","Backpack","Accessories","85","Virginia","XL","Winter","Credit Card","Weekly"
"Male","Skirt","Clothing","30","South Dakota","XL","Fall","Bank Transfer","Fortnightly"
"Male","Shirt","Clothing","29","Georgia","M","Winter","Bank Transfer","Bi-Weekly"
"Male","Sweater","Clothing","95","Hawaii","M","Spring","Debit Card","Annually"
"Male","Sneakers","Footwear","69","Arkansas","L","Summer","Bank Transfer","Monthly"
"Male","Sandals","Footwear","69","Montana","S","Fall","Cash","Bi-Weekly"
"Male","Belt","Accessories","61","Oklahoma","XL","Spring","Debit Card","Bi-Weekly"
"Male","Skirt","Clothing","94","Minnesota","M","Summer","Cash","Monthly"
"Male","Sweater","Clothing","30","Montana","S","Fall","Venmo","Annually"
"Male","Skirt","Clothing","45","Ohio","M","Summer","PayPal","Quarterly"
"Male","Handbag","Accessories","39","Kentucky","XL","Summer","Debit Card","Bi-Weekly"
"Male","Jewelry","Accessories","51","Nebraska","L","Summer","Debit Card","Annually"
"Male","Scarf","Accessories","37","Delaware","L","Spring","Venmo","Fortnightly"
"Male","T-shirt","Clothing","62","North Carolina","M","Winter","Venmo","Bi-Weekly"
"Male","Coat","Outerwear","85","New York","M","Fall","Credit Card","Monthly"
"Male","T-shirt","Clothing","33","Colorado","M","Winter","PayPal","Weekly"
"Male","Dress","Clothing","26","Delaware","XL","Fall","Bank Transfer","Monthly"
"Male","Shoes","Footwear","99","Utah","M","Spring","Cash","Quarterly"
"Male","Handbag","Accessories","39","Connecticut","M","Spring","PayPal","Annually"
"Male","Skirt","Clothing","20","New Jersey","M","Spring","Credit Card","Every 3 Months"
"Male","Sunglasses","Accessories","42","West Virginia","M","Winter","Credit Card","Quarterly"
"Male","Sandals","Footwear","74","Indiana","S","Spring","Credit Card","Weekly"
"Male","Shoes","Footwear","26","Delaware","XL","Summer","Credit Card","Bi-Weekly"
"Male","T-shirt","Clothing","53","Maryland","M","Winter","Venmo","Every 3 Months"
"Male","Sneakers","Footwear","80","Pennsylvania","M","Summer","PayPal","Fortnightly"
"Male","Hat","Accessories","98","Iowa","M","Spring","PayPal","Weekly"
"Male","Skirt","Clothing","95","Pennsylvania","M","Spring","Credit Card","Every 3 Months"
"Male","Sweater","Clothing","44","Delaware","L","Summer","Bank Transfer","Every 3 Months"
"Male","Sandals","Footwear","60","Oregon","M","Summer","Venmo","Weekly"
"Male","Dress","Clothing","84","Oregon","M","Winter","Credit Card","Bi-Weekly"
"Male","Sweater","Clothing","59","Utah","M","Fall","PayPal","Annually"
"Male","Jacket","Outerwear","49","North Dakota","S","Summer","Cash","Annually"
"Male","Gloves","Accessories","32","Florida","M","Winter","Credit Card","Every 3 Months"
"Male","Handbag","Accessories","29","Maryland","M","Fall","Venmo","Bi-Weekly"
"Male","Dress","Clothing","22","Minnesota","M","Spring","Cash","Fortnightly"
"Male","Pants","Clothing","85","Montana","M","Winter","Cash","Fortnightly"
"Male","Jeans","Clothing","52","Rhode Island","L","Winter","Bank Transfer","Monthly"
"Male","Pants","Clothing","89","Massachusetts","L","Spring","PayPal","Annually"
"Male","Dress","Clothing","77","Vermont","M","Spring","Credit Card","Every 3 Months"
"Male","Pants","Clothing","24","New Jersey","M","Summer","Debit Card","Every 3 Months"
"Male","Jewelry","Accessories","24","Wisconsin","XL","Spring","Debit Card","Annually"
"Male","Handbag","Accessories","22","California","M","Fall","Venmo","Monthly"
"Male","Sweater","Clothing","82","West Virginia","L","Fall","Cash","Every 3 Months"
"Male","Backpack","Accessories","67","South Dakota","M","Winter","Cash","Annually"
"Male","Shorts","Clothing","74","Maine","XL","Spring","Cash","Every 3 Months"
"Male","Jewelry","Accessories","72","Kansas","L","Summer","Debit Card","Quarterly"
"Male","Sneakers","Footwear","36","Vermont","L","Summer","Debit Card","Quarterly"
"Male","Belt","Accessories","95","Tennessee","S","Winter","Credit Card","Monthly"
"Male","Hoodie","Clothing","78","Tennessee","M","Winter","PayPal","Bi-Weekly"
"Male","Shirt","Clothing","82","Wyoming","M","Summer","Venmo","Quarterly"
"Male","Pants","Clothing","70","Vermont","M","Winter","Debit Card","Annually"
"Male","Scarf","Accessories","41","New Jersey","M","Fall","Bank Transfer","Weekly"
"Male","Coat","Outerwear","42","Iowa","M","Summer","PayPal","Weekly"
"Male","Coat","Outerwear","50","Florida","M","Fall","Credit Card","Weekly"
"Male","Socks","Clothing","31","Nevada","S","Summer","Bank Transfer","Monthly"
"Male","Sweater","Clothing","51","North Dakota","M","Winter","Venmo","Bi-Weekly"
"Male","Shirt","Clothing","98","Florida","L","Fall","PayPal","Quarterly"
"Male","Shirt","Clothing","86","New York","M","Winter","Credit Card","Monthly"
"Male","Sweater","Clothing","64","Alaska","M","Winter","Bank Transfer","Bi-Weekly"
"Male","Blouse","Clothing","46","Kansas","M","Fall","Credit Card","Annually"
"Male","Sweater","Clothing","85","Oregon","L","Spring","Venmo","Every 3 Months"
"Male","Hat","Accessories","81","Rhode Island","S","Fall","PayPal","Annually"
"Male","Sweater","Clothing","59","New Mexico","M","Winter","Bank Transfer","Annually"
"Male","Hoodie","Clothing","79","Massachusetts","M","Winter","Cash","Weekly"
"Male","Shorts","Clothing","33","Pennsylvania","M","Spring","Credit Card","Every 3 Months"
"Male","Shorts","Clothing","47","New Jersey","L","Summer","Venmo","Every 3 Months"
"Male","Hat","Accessories","20","Utah","S","Summer","Debit Card","Bi-Weekly"
"Male","Coat","Outerwear","36","Kentucky","M","Spring","Credit Card","Every 3 Months"
"Male","Sandals","Footwear","39","Nebraska","M","Summer","Venmo","Monthly"
